year,month,originCountry,dollarRate,consumerPriceIndex,totalCount
2024,11,14,296.0,133.5,8688
2024,11,4,296.0,119.7,8260
2024,11,0,296.0,139.1,7200
2024,11,6,296.0,103.870556,4359
2024,11,10,296.0,263.5,4199
2024,11,8,296.0,130.61,4178
2024,11,11,296.0,115.009,4166
2024,11,3,296.0,119.56,3749
2024,10,5,292.9,196.8,36417
2024,10,10,292.9,265.4,10367
2024,10,14,292.9,134.3,10206
2024,10,4,292.9,120.2,9217
2024,10,2,292.9,103.6,8307
2024,10,0,292.9,139.4,6523
2024,10,3,292.9,119.89,4688
2024,10,8,292.9,133.32,3732
2024,10,11,292.9,115.726,3458
2024,10,15,292.9,144.7631452,3170
2024,9,5,290.6,196.5,41120
2024,9,10,290.6,269.3,29053
2024,9,14,290.6,134.6,12912
2024,9,4,290.6,119.9,12593
2024,9,2,290.6,103.0,8371
2024,9,0,290.6,139.4,7937
2024,9,3,290.6,119.72,6665
2024,9,9,290.6,190.0,5164
2024,9,15,290.6,144.6847248,4472
2024,9,11,290.6,116.01,3655
2024,2,5,293.0,195.4,52881
2024,2,10,293.0,272.8,35268
2024,2,14,293.0,135.1,18757
2024,2,4,293.0,120.5,14703
2024,2,0,293.0,139.4,13109
2024,2,2,293.0,103.0,9924
2024,2,15,293.0,144.7360878,8212
2024,2,6,293.0,107.4460219,6903
2024,2,3,293.0,119.95,6332
2024,2,9,293.0,190.0,6233
2022,1,14,357.88,121.8,6776
2022,1,5,357.88,174.3,5340
2022,1,4,357.88,110.7,3251
2022,1,3,357.88,113.38,2784
2022,1,1,357.88,152.6,2581
2022,1,11,357.88,110.265,2148
2022,1,0,357.88,128.4,1898
2022,1,10,357.88,228.7,1426
2022,1,15,357.88,135.8236779,1105
2022,1,7,357.88,123.95,1021
2022,11,5,365.5,175.3,6493
2022,11,14,365.5,122.3,2872
2022,11,0,365.5,128.4,2309
2022,11,4,365.5,112.7,2149
2022,11,10,365.5,228.8,1553
2022,11,1,365.5,152.7,1552
2022,11,6,365.5,100.0542322,1314
2022,11,3,365.5,112.74,1201
2022,11,11,365.5,109.498,1091
2022,11,15,365.5,136.1158054,991
2022,10,5,363.0,176.7,8862
2022,10,10,363.0,229.3,6189
2022,10,14,363.0,124.3,4275
