year,month,originCountry,dollarRate,consumerPriceIndex,totalCount
2023,May,United States,290.0,139.4722903,3240
2023,May,Maldives,290.0,101.8753433,2438
2023,May,France,290.0,117.44,2414
2023,June,India,307.5,181.0,26830
2023,June,United Kingdom,307.5,129.4,7981
2023,June,Russia,307.5,238.3,7968
2023,June,Australia,307.5,133.7,6195
2023,June,China,307.5,102.7,5105
2023,June,Germany,307.5,116.8,5090
2023,June,Canada,307.5,157.2,4509
2023,June,Maldives,307.5,101.9811114,4080
2023,June,United States,307.5,139.9226344,3806
2023,June,France,307.5,117.65,2895
2023,July,India,317.0,186.3,23461
2023,July,United Kingdom,317.0,129.0,17482
2023,July,China,317.0,102.9,10062
2023,July,Germany,317.0,117.1,8013
2023,July,Russia,317.0,239.8,8009
2023,July,France,317.0,117.71,7432
2023,July,Netherlands,317.0,127.13,6796
2023,July,Maldives,317.0,102.041994,6286
2023,July,Canada,317.0,158.1,5737
2023,July,Australia,317.0,135.3,5323
2023,August,India,318.5,186.2,30593
2023,August,United Kingdom,318.5,129.4,15035
2023,August,China,318.5,103.2,9262
2023,August,Germany,318.5,117.5,8472
2023,August,Russia,318.5,240.5,6853
2023,August,France,318.5,118.89,6223
2023,August,Australia,318.5,135.3,5522
2023,August,Italy,318.5,120.1,5110
2023,August,Canada,318.5,158.7,4735
2023,August,Spain,318.5,113.149,4455
2023,September,India,323.75,184.1,30063
2023,September,China,323.75,103.4,8445
2023,September,United Kingdom,323.75,130.1,7504
2023,September,Germany,323.75,117.8,7231
2023,September,Russia,323.75,242.6,7163
2023,September,Australia,323.75,135.3,5969
2023,September,Israel,323.75,97.7,4162
2023,September,Netherlands,323.75,127.16,3177
2023,September,France,323.75,118.26,2661
2023,September,Canada,323.75,158.5,2426
2023,October,India,327.5,185.3,28222
2023,October,Russia,327.5,244.6,10629
2023,October,United Kingdom,327.5,130.2,8454
2023,October,Germany,327.5,117.8,7548
2023,October,China,327.5,103.3,6211
2023,October,Australia,327.5,136.1,4977
2023,October,Maldives,327.5,102.6252342,3862
2023,October,France,327.5,118.43,2956
2023,October,United States,327.5,141.0975646,2651
2023,October,Spain,327.5,113.676,2488
2023,November,India,327.75,186.3,30335
2023,November,Russia,327.75,247.3,24912
2023,November,Germany,327.75,117.3,12331
2023,November,United Kingdom,327.75,130.0,11526
2023,November,Australia,327.75,136.1,7900
2023,November,China,327.75,102.8,6673
2023,November,United States,327.75,140.8132333,4299
2023,November,France,327.75,118.23,3882
2023,November,Poland,327.75,181.3,3343
2023,November,Japan,327.75,106.9,2875
2023,December,India,323.8,185.7,43973
2023,December,Russia,323.8,249.1,29657
2023,December,United Kingdom,323.8,130.5,19265
2023,December,Germany,323.8,117.4,13747
2023,December,Australia,323.8,136.1,10847
2023,December,China,323.8,102.9,8274
2023,December,United States,323.8,140.6733607,8044
2023,December,Maldives,323.8,102.5238031,5968
2023,December,France,323.8,118.39,5509
2023,December,Canada,323.8,158.3,3640
2021,June,France,199.0,106.34,654
2021,June,China,199.0,100.2,176
2021,June,Germany,199.0,102.9,137
2021,June,United Kingdom,199.0,111.4,121
2021,June,United States,199.0,124.5994712,118
2021,June,Canada,199.0,141.4,67
2021,June,Russia,199.0,199.1713,33
2021,June,Norway,199.0,115.3,32
2021,June,Switzerland,199.0,101.1087,27
2021,June,Maldives,199.0,94.61287292,22
2021,July,United Kingdom,199.0,111.4,342
2021,July,Maldives,199.0,97.25957117,249
2021,July,United States,199.0,125.1988599,242
2021,July,Germany,199.0,103.4,215
2021,July,Canada,199.0,142.3,178
2021,July,China,199.0,100.5,167
2021,July,France,199.0,106.4,147
2021,July,Switzerland,199.0,101.023,123
2021,July,Pakistan,199.0,146.7567069,111
2021,July,Netherlands,199.0,110.23,72
2021,August,Canada,199.0,142.6,594
2021,August,Germany,199.0,103.5,515
2021,August,United Kingdom,199.0,112.1,489
2021,August,Pakistan,199.0,147.6061868,456
2021,August,India,199.0,162.9,405
2021,August,Maldives,199.0,97.33532945,341
2021,August,United States,199.0,125.4575097,311
2021,August,France,199.0,107.05,248
2021,August,Russia,199.0,200.1283,247
2021,August,China,199.0,100.6,178
2021,September,India,199.0,163.2,8528
